               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11278,            0.032023,            0.042493,                   0,                   0,                   0,                   0,            0.068935,            0.025656,            0.020062,                 0.1,                   0,                   0
                   1,             0.10054,            0.035676,            0.041907,                   0,                   0,                   0,                   0,            0.070204,            0.025787,            0.021427,            0.099098,           9.802e-05,           9.802e-05
                   2,             0.11613,             0.02906,            0.040309,                   0,                   0,                   0,                   0,            0.070351,             0.02575,             0.02121,            0.098192,          0.00019208,          0.00019208
                   3,             0.11911,            0.033444,            0.043497,                   0,                   0,                   0,                   0,            0.070335,            0.025713,            0.020923,            0.097282,          0.00028218,          0.00028218
                   4,             0.11849,             0.02533,            0.044271,                   0,                   0,                   0,                   0,            0.070083,            0.025653,             0.02067,            0.096368,          0.00036832,          0.00036832
                   5,             0.11491,            0.027056,             0.04327,                   0,                   0,                   0,                   0,            0.069964,            0.025578,            0.020488,            0.095451,           0.0004505,           0.0004505
                   6,              0.1132,            0.031907,            0.038258,                   0,                   0,                   0,                   0,            0.069486,            0.025512,            0.020141,            0.094529,          0.00052872,          0.00052872
                   7,             0.10358,             0.02828,            0.044943,                   0,                   0,                   0,                   0,            0.069216,            0.025414,            0.019764,            0.093603,          0.00060298,          0.00060298
                   8,             0.10995,            0.026419,            0.040886,                   0,                   0,                   0,                   0,            0.068968,            0.025324,            0.019428,            0.092673,          0.00067328,          0.00067328
                   9,            0.097215,            0.035379,             0.04089,                   0,                   0,                   0,                   0,            0.068719,            0.025233,            0.019063,             0.09174,          0.00073962,          0.00073962
                  10,             0.10051,            0.026249,            0.045188,                   0,                   0,                   0,                   0,            0.069119,            0.025027,             0.01877,            0.090802,            0.000802,            0.000802
                  11,             0.10824,            0.034122,            0.039081,                   0,                   0,                   0,                   0,            0.069514,              0.0248,            0.018487,             0.08986,          0.00086042,          0.00086042
                  12,             0.10282,            0.031212,            0.037849,                   0,                   0,                   0,                   0,            0.070072,            0.024567,            0.018185,            0.088915,          0.00091488,          0.00091488
                  13,             0.11452,            0.028272,            0.039923,                   0,                   0,                   0,                   0,            0.070896,            0.024264,            0.017852,            0.087965,          0.00096538,          0.00096538
                  14,             0.10231,            0.026031,            0.038839,                   0,                   0,                   0,                   0,              0.0706,            0.024126,            0.017538,            0.087012,           0.0010119,           0.0010119
                  15,             0.10099,             0.02752,            0.038596,                   0,                   0,                   0,                   0,            0.069937,            0.024064,            0.017228,            0.086055,           0.0010545,           0.0010545
                  16,            0.096756,            0.030305,            0.035255,                   0,                   0,                   0,                   0,            0.068962,            0.024037,            0.016947,            0.085093,           0.0010931,           0.0010931
                  17,             0.10238,             0.03068,            0.035419,                   0,                   0,                   0,                   0,            0.068962,            0.024037,            0.016947,            0.084128,           0.0011278,           0.0011278
                  18,             0.10309,            0.028786,            0.034121,                   0,                   0,                   0,                   0,            0.067594,            0.024085,            0.016542,            0.083158,           0.0011585,           0.0011585
                  19,            0.097853,            0.034995,            0.035918,                   0,                   0,                   0,                   0,            0.067594,            0.024085,            0.016542,            0.082185,           0.0011852,           0.0011852
                  20,            0.091546,            0.030566,            0.030886,                   0,                   0,                   0,                   0,            0.066211,            0.024081,            0.016258,            0.081208,            0.001208,            0.001208
                  21,            0.087553,            0.034788,            0.031863,                   0,                   0,                   0,                   0,            0.066211,            0.024081,            0.016258,            0.080227,           0.0012268,           0.0012268
                  22,             0.11078,            0.029858,            0.036265,                   0,                   0,                   0,                   0,            0.064571,            0.024145,            0.015964,            0.079242,           0.0012417,           0.0012417
                  23,             0.10554,            0.032302,            0.032604,                   0,                   0,                   0,                   0,            0.064571,            0.024145,            0.015964,            0.078253,           0.0012526,           0.0012526
